19990713,3.93
19990714,4.13
19990715,4.29
19990716,4.2
19990719,4.03
19990720,4.15
19990721,4.14
19990722,4.03
19990723,4.08
19990726,4.08
19990727,4.06
19990728,4.14
19990729,4.15
19990730,4.11
19990802,4.27
19990803,4.4
19990804,4.3
19990805,4.29
19990806,4.28
19990809,4.33
19990810,4.21
19990811,4.12
19990812,4.19
19990813,4.18
19990816,4.17
19990817,4.17
19990818,4.14
19990819,4.28
19990820,4.29
19990823,4.5
19990824,4.64
19990825,4.55
19990826,4.57
19990827,4.57
19990830,4.63
19990831,4.56
19990901,4.42
19990902,4.43
19990903,4.38
19990906,4.32
19990907,4.38
19990908,4.49
19990909,4.6
19990910,4.45
19990913,4.43
19990914,4.48
19990915,4.42
19990916,4.44
19990917,4.42
19990920,4.35
19990921,4.31
19990922,4.31
19990923,4.35
19990924,4.35
19990927,4.32
19990928,4.32
19990929,4.34
19990930,4.27
19991008,4.13
19991011,4.08
19991012,4.1
19991013,4.01
19991014,4.0
19991015,4.08
19991018,4.01
19991019,3.99
19991020,3.98
19991021,3.91
19991022,4.01
19991025,3.93
19991026,3.95
19991027,4.01
19991028,4.05
19991029,4.08
19991101,3.99
19991102,3.92
19991103,3.92
19991104,3.9
19991105,3.93
19991108,4.01
19991109,3.98
19991110,3.9
19991111,3.88
19991112,3.9
19991115,3.84
19991116,3.79
19991117,3.92
19991118,4.04
19991119,4.03
19991122,3.98
19991123,3.96
19991124,4.0
19991125,3.92
19991126,3.91
19991129,3.88
19991130,3.9
19991201,3.92
19991202,3.88
19991203,3.89
19991206,3.89
19991207,3.92
19991208,3.86
19991209,3.84
19991210,3.87
19991213,3.81
19991214,3.85
19991215,3.88
19991216,3.82
19991217,3.8
19991221,3.73
19991222,3.85
19991223,3.7
19991224,3.55
19991227,3.42
19991228,3.51
19991229,3.51
19991230,3.54
20000104,3.59
20000105,3.6
20000106,3.73
20000107,3.81
20000110,3.86
20000111,3.73
20000112,3.67
20000113,3.67
20000114,3.7
20000117,3.64
20000118,3.66
20000119,3.63
20000120,3.62
20000121,3.58
20000124,3.55
20000125,3.54
20000126,3.72
20000127,3.91
20000128,4.11
20000214,4.32
20000215,4.54
20000216,4.73
20000217,4.49
20000218,4.27
20000221,4.48
20000222,4.31
20000223,4.2
20000224,4.25
20000225,4.12
20000228,4.29
20000229,4.38
20000301,4.39
20000302,4.29
20000303,4.39
20000306,4.27
20000307,4.2
20000308,4.24
20000309,4.27
20000310,4.2
20000313,4.37
20000314,4.3
20000315,4.52
20000316,4.29
20000317,4.34
20000320,4.44
20000321,4.59
20000322,4.73
20000323,4.71
20000324,4.67
20000327,4.9
20000328,5.15
20000329,5.15
20000330,5.41
20000331,5.68
20000403,5.84
20000404,5.55
20000405,5.39
20000406,5.66
20000407,5.69
20000410,5.67
20000411,5.93
20000412,6.0
20000414,6.6
20000417,6.93
20000418,6.63
20000419,6.44
20000420,6.57
20000421,6.39
20000424,6.14
20000425,6.19
20000426,6.15
20000427,5.91
20000428,5.96
20000508,5.9
20000509,5.7
20000510,5.36
20000511,5.25
20000512,5.25
20000515,5.07
20000516,5.58
20000517,5.68
20000518,5.88
20000519,5.85
20000522,6.0
20000523,6.04
